CATEGORY,ITEM_ID,ITEM_NAME,SALE_PRICE,REDUCED_PRICE,BENEFIT_PRICE,DISCOUNT_RATE,IS_FOOD,ITEM_FEATURE1,ITEM_FEATURE2,MEANING_SCORE,PRICE_DT,KURLY_HCT,KURLY_MCT
냉동식품,1241446645,[토박이할머니손맛] 메밀전병480g(1팩),"12,800","12,800",0, - , 식품 ,,,,2022-07-01,간식_과자_떡,아이스크림
콩,31368549169,100% 국산 볶음서리태 볶은 검은콩 뻥튀기,"6,790","6,790",0, - , 식품 ,,,,2022-07-01,과일_견과_쌀,쌀_잡곡
풋고추,25404591759,[초록마을] 무농약_풋고추 (150g),"2,700","2,700",0, - , 식품 , 친환경 ,,135.0,2022-07-01,채소,오이_호박_고추
밤,31660668516,공주 정안밤 군밤용 단택밤 1kg / 2kg / 애기군밤,"12,000","12,000",0, - , 식품 ,,,,2022-07-01,과일_견과_쌀,제철과일
커피,83448626832,남양 악마의유혹 프렌치카페 카페오레 200mlx10개 컵커피,"8,900","8,900",0, - , 식품 ,,,,2022-07-01,생수_음료_우유_커피,커피
블루베리,32476768289,블루베리 100g x 10팩 / 생블루베리 코스트코 농장,"46,800","46,800",0, - , 식품 ,,컬리온리,,2022-07-01,과일_견과_쌀,수입과일
즉석식품,83761116776,CJ햇반 간편식 컵반 햇반 컵밥 덮밥 미역국 황태국 고추장제육 카레 짜장 찌개,"3,670","3,670",0, - , 식품 ,,컬리온리,,2022-07-01,샐러드_간편식,떡볶이_튀김_순대
당면,33195280860,오뚜기 알뜰 당면 1kg,"15,930","15,930",0, - , 식품 ,,,,2022-07-01,샐러드_간편식,파스타_면류
국수,33207710145,TW0101F4 옛날국수소면10kg1박스,"35,000","35,000",0, - , 식품 ,,,,2022-07-01,샐러드_간편식,파스타_면류
블루베리,31439565177,[기타] [CJ프레시웨이] 냉동 블루베리 1kg,"6,900","6,900",0, - , 식품 ,,,,2022-07-01,과일_견과_쌀,수입과일
커피,1197974932,H구름상상 케냐 500ml 더치커피 콜브드루 원액,"7,900","7,900",0, - , 식품 ,,,,2022-07-01,생수_음료_우유_커피,커피
